Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora
1,The Super Mario Bros. Movie,490851630,490851630,Apr 5,Universal Pictures
2,John Wick: Chapter 4,73534908,73534908,Mar 24,Lionsgate
3,Dungeons & Dragons: Honor Among Thieves,73009377,73009377,Mar 31,Paramount Pictures
4,Air,47632574,47632574,Apr 5,-
5,Evil Dead Rise,44347368,44347368,Apr 21,Warner Bros.
6,The Pope's Exorcist,18016970,18016970,Apr 14,Screen Gems
7,Renfield,16341400,16341400,Apr 14,Universal Pictures
8,Scream VI,13622755,13622755,Mar 10,Paramount Pictures
9,The Covenant,12274737,12274737,Apr 21,Metro-Goldwyn-Mayer (MGM)
10,Creed III,11058143,11058143,Mar 3,United Artists Releasing
11,His Only Son,9884724,9884724,Mar 31,Angel Studios
12,Suzume,9770444,9770444,Apr 14,Crunchyroll
13,Shazam! Fury of the Gods,7556261,7556261,Mar 17,Warner Bros.
14,"Are You There God? It's Me, Margaret.",6739037,6739037,Apr 28,Lionsgate
15,Beau Is Afraid,5692874,5692874,Apr 14,A24
16,Star Wars: Episode VI - Return of the Jedi,5100654,5100654,Apr 28,-
17,Ponniyin Selvan: Part Two,3813000,3813000,Apr 28,-
18,The Journey: A Music Special from Andrea Bocelli,3574915,3574915,Apr 2,Fathom Events
19,Mafia Mamma,3496761,3496761,Apr 14,Bleecker Street Media
20,Nefarious,3414106,3414106,Apr 14,Soli Deo Gloria Releasing
21,Sisu,3330891,3330891,Apr 28,Lionsgate
22,Big George Foreman,2925364,2925364,Apr 28,Sony Pictures Entertainment (SPE)
23,Avatar: The Way of Water,2802843,2802843,Dec 16,20th Century Studios
24,Chevalier,2787791,2787791,Apr 21,Walt Disney Studios Motion Pictures
25,A Thousand and One,2692100,2692100,Mar 31,Focus Features
26,65,2582558,2582558,Mar 10,Sony Pictures Entertainment (SPE)
27,Jesus Revolution,1910185,1910185,Feb 24,Lionsgate
28,Ant-Man and the Wasp: Quantumania,1844824,1844824,Feb 17,Walt Disney Studios Motion Pictures
29,Champions,1803490,1803490,Mar 10,Focus Features
30,Come Out in Jesus Name,1570120,1570120,Mar 13,Fathom Events
31,Everything Everywhere All at Once,1517867,1517867,Mar 25,A24
32,Spirited Away,1324507,1324507,Apr 23,Fathom Events
33,Somewhere in Queens,1309643,1309643,Apr 21,Roadside Attractions
34,Cocaine Bear,1215230,1215230,Feb 24,Universal Pictures
35,The Lord of the Rings: The Return of the King,1176085,1176085,Apr 13,Fathom Events
36,Puss in Boots: The Last Wish,975295,975295,Dec 21,Universal Pictures
37,Polite Society,817740,817740,Apr 28,Focus Features
38,Paint,807507,807507,Apr 7,IFC Films
39,A Good Person,799468,799468,Mar 24,United Artists Releasing
40,Showing Up,769862,769862,Apr 7,A24
41,How to Blow Up a Pipeline,725655,725655,Apr 7,-
42,The Thorn,577004,577004,Mar 6,Fathom Events
43,Sweetwater,541633,541633,Apr 14,Briarcliff Entertainment
44,Mummies,457944,457944,Feb 24,Warner Bros.
45,The Lost King,354842,354842,Mar 24,IFC Films
46,Mirando Al Cielo,295539,295539,Apr 18,Fathom Events
47,The Quiet Girl,200174,200174,Feb 24,Neon
48,Born to Fly,193927,193927,Apr 28,Well Go USA Entertainment
49,Return to Seoul,183975,183975,Feb 17,Sony Pictures Classics
50,Wild Life,181470,181470,Apr 14,Picturehouse
51,The Whale,174901,174901,Dec 9,A24
52,La Usurpadora: The Musical,160527,160527,Apr 7,Pantelion Films
53,Moving On,143753,143753,Mar 17,Roadside Attractions
54,Malum,131333,131333,Mar 31,-
55,Enys Men,130773,130773,Mar 31,-
56,Ride On,128950,128950,Apr 7,Well Go USA Entertainment
57,Joyland,124023,124023,Apr 7,Oscilloscope
58,Little Richard: I Am Everything,108322,108322,Apr 21,Magnolia Pictures
59,The Lost Weekend: A Love Story,102531,102531,Apr 13,-
60,School of Magical Animals,63491,63491,Mar 24,Blue Fox Entertainment
61,Smoking Causes Coughing,52966,52966,Mar 31,Magnolia Pictures
62,Sick of Myself,51492,51492,Apr 14,Utopia
63,The Eight Mountains,50060,50060,Apr 28,Variance Films
64,¡Que viva México!,40620,40620,Mar 24,Sony Pictures Entertainment (SPE)
65,The Conformist,38509,38509,Jan 6,Kino Lorber
66,Nam June Paik: Moon Is the Oldest TV,37548,37548,Mar 24,Greenwich Entertainment
67,Summoning Sylvia,35812,35812,Mar 31,-
68,Tori and Lokita,35539,35539,Mar 24,Janus Films
69,Tu Jhoothi Main Makkaar,34240,34240,Mar 8,Yash Raj Films USA Inc.
70,A Man Called Otto,33301,33301,Dec 30,Columbia Pictures
71,The Amazing Maurice,32273,32273,Feb 3,Viva Pictures
72,Other People's Children,29928,29928,Apr 21,Music Box Films
73,The End of Sex,23367,23367,Apr 28,Blue Fox Entertainment
74,Carmen,22724,22724,Apr 21,Sony Pictures Classics
75,"What the Hell Happened to Blood, Sweat & Tears?",21759,21759,Mar 24,Abramorama
76,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,21115,21115,Dec 30,Sony Pictures Entertainment (SPE)
77,Nuclear Now,20598,20598,Apr 28,Abramorama
78,River,20501,20501,Apr 21,Greenwich Entertainment
79,In Viaggio: The Travels of Pope Francis,20282,20282,Mar 31,Magnolia Pictures
80,Róise & Frank,19932,19932,Mar 31,Juno Films
81,Living,17798,17798,Dec 23,Sony Pictures Classics
82,Hilma,15928,15928,Apr 14,Juno Films
83,"Blind Willow, Sleeping Woman",15592,15592,Apr 14,-
84,The Headmistress,13120,13120,Jan 13,Indican Pictures
85,The Innocent,12560,12560,Mar 17,Janus Films
86,Violent Night,12245,12245,Dec 2,Universal Pictures
87,The Trial,11700,11700,Dec 9,Rialto Pictures
88,MindReader,11544,11544,Oct 24,Five & Two Pictures
89,"Crouching Tiger, Hidden Dragon",10246,10246,Feb 17,Sony Pictures Classics
90,32 Sounds,10239,10239,Apr 28,Abramorama
91,Rare Objects,10072,10072,Apr 14,IFC Films
92,Passion,9989,9989,Apr 14,Film Movement
93,Juniper,9974,9974,Feb 24,Greenwich Entertainment
94,One Fine Morning,9736,9736,Jan 27,Sony Pictures Entertainment (SPE)
95,Linoleum,9434,9434,Feb 24,Shout! Studios
96,The Worst Ones,8843,8843,Mar 24,Kino Lorber
97,A Difficult Life,7748,7748,Feb 3,Rialto Pictures
98,The Forger,7007,7007,Mar 3,Kino Lorber
99,Cinema Sabaya,6320,6320,Feb 10,Kino Lorber
100,Path of the Panther,6138,6138,Feb 24,-
101,Boblo Boats: A Detroit Ferry Tale,5478,5478,Sep 16,Lucky Hat Entertainment
102,My Architect,5400,5400,Apr 7,Abramorama
103,Four Quartets,5332,5332,Apr 28,Kino Lorber
104,The Wandering Earth II,5046,5046,Jan 22,Well Go USA Entertainment
105,iMordecai,5010,5010,Feb 10,Greenwich Entertainment
106,R.M.N.,4755,4755,Apr 28,IFC Films
107,Guitar Lessons,4198,4198,Sep 23,-
108,Cadejo Blanco,3562,3562,Apr 21,Film Movement
109,The Five Devils,3536,3536,Mar 24,MUBI
110,Rodeo,3408,3408,Mar 17,Music Box Films
111,Eight Deadly Shots,3234,3234,Mar 31,Janus Films
112,Only in Theaters,3073,3073,Nov 18,-
113,Godland,2910,2910,Feb 3,Janus Films
114,Drylongso,2591,2591,Mar 17,Janus Films
115,The Civil Dead,2175,2175,Feb 10,Utopia
116,Leonor Will Never Die,1697,1697,Nov 25,Music Box Films
117,Filmmakers for the Prosecution,1429,1429,Jan 27,Kino Lorber
118,Full Time,1406,1406,Feb 3,Music Box Films
