Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
1,Barbie,164830710,164830710,Jul 21,Warner Bros.,august
2,Oppenheimer,85480510,85480510,Jul 21,Universal Pictures,august
3,Teenage Mutant Ninja Turtles: Mutant Mayhem,74165719,74165719,Aug 2,Paramount Pictures,august
4,Meg 2: The Trench,55688230,55688230,Aug 4,Warner Bros.,august
5,Haunted Mansion,27281811,27281811,Jul 28,Walt Disney Studios Motion Pictures,august
6,Sound of Freedom,22062433,22062433,Jul 4,Angel Studios,august
7,Mission: Impossible - Dead Reckoning Part One,19541486,19541486,Jul 12,Paramount Pictures,august
8,Talk to Me,19530006,19530006,Jul 28,A24,august
9,The Last Voyage of the Demeter,7122050,7122050,Aug 11,Universal Pictures,august
10,Indiana Jones and the Dial of Destiny,5137079,5137079,Jun 30,Walt Disney Studios Motion Pictures,august
11,Elemental,4783165,4783165,Jun 16,Walt Disney Studios Motion Pictures,august
12,Insidious: The Red Door,3015709,3015709,Jul 7,Screen Gems,august
13,Spider-Man: Across the Spider-Verse,1714255,1714255,Jun 2,Columbia Pictures,august
14,Theater Camp,1545634,1545634,Jul 14,Searchlight Pictures,august
15,Jules,952655,952655,Aug 11,Bleecker Street Media,august
16,Shortcomings,559654,559654,Aug 4,Sony Pictures Classics,august
17,The First Slam Dunk,438940,438940,Jul 28,GKIDS,august
18,Transformers: Rise of the Beasts,364876,364876,Jun 9,Paramount Pictures,august
19,No Hard Feelings,251299,251299,Jun 23,Sony Pictures Entertainment (SPE),august
20,The Little Mermaid,247527,247527,May 26,Walt Disney Studios Motion Pictures,august
21,Dreamin' Wild,240377,240377,Aug 4,Roadside Attractions,august
22,Asteroid City,231510,231510,Jun 16,Focus Features,august
23,CatVideoFest 2023,230067,230067,Aug 4,Oscilloscope,august
24,The Miracle Club,216902,216902,Jul 14,Sony Pictures Entertainment (SPE),august
25,Past Lives,200643,200643,Jun 2,A24,august
26,The Flash,199818,199818,Jun 16,Warner Bros.,august
27,Passages,172610,172610,Aug 4,MUBI,august
28,"Ruby Gillman, Teenage Kraken",119015,119015,Jun 30,DreamWorks,august
29,The Essential Church,116420,116420,Jul 28,Atlas Distribution Company,august
30,Go West,103719,103719,Jul 19,Purdie Distribution,august
31,The Highest of Stakes,100287,100287,Aug 4,Indican Pictures,august
32,Ransomed,97220,97220,Aug 4,Well Go USA Entertainment,august
33,The Super Mario Bros. Movie,95165,95165,Apr 5,Universal Pictures,august
34,Afire,55150,55150,Jul 14,Sideshow Releasing,august
35,Kokomo City,49705,49705,Jul 28,Magnolia Pictures,august
36,Guardians of the Galaxy Vol. 3,39096,39096,May 5,Walt Disney Studios Motion Pictures,august
37,Joy Ride,36174,36174,Jul 7,Lionsgate,august
38,Contempt,33621,33621,Jun 30,Rialto Pictures,august
39,Day by Day,31141,31141,Aug 11,Utopia,august
40,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd,28456,28456,Jul 14,Abramorama,august
41,Lakota Nation vs. United States,25173,25173,Jul 14,IFC Films,august
42,The Unknown Country,19294,19294,Jul 28,Music Box Films,august
43,A Compassionate Spy,18210,18210,Aug 4,Magnolia Pictures,august
44,Bobi Wine: The People's President,17908,17908,Jul 28,National Geographic Documentary Films,august
45,Tokyo Pop,15816,15816,Aug 4,Kino Lorber,august
46,The Beasts,14845,14845,Jul 28,Greenwich Entertainment,august
47,Aporia,14064,14064,Aug 11,Well Go USA Entertainment,august
48,Shiva Baby,13989,13989,Aug 4,Utopia,august
49,Winter Kills,11182,11182,Aug 11,Rialto Pictures,august
50,32 Sounds,9770,9770,Apr 28,Abramorama,august
51,The Wicker Man,7075,7075,Jun 21,Rialto Pictures,august
52,Between Two Worlds,6360,6360,Aug 11,Cohen Media Group,august
53,What Comes Around,5935,5935,Aug 4,IFC Films,august
54,Sympathy for the Devil,4979,4979,Jul 28,-,august
55,The League,3302,3302,Jul 14,Magnolia Pictures,august
56,The Others,3267,3267,Aug 11,Rialto Pictures,august
57,Squaring the Circle (The Story of Hipgnosis),2986,2986,Jun 9,Utopia,august
58,The Last Rider,2853,2853,Jun 23,Roadside Attractions,august
59,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",2121,2121,Jun 23,Zeitgeist Films,august
60,Return to Dust,1869,1869,Jul 21,Film Movement,august
61,Love Life,1782,1782,Aug 11,Oscilloscope,august
62,Terrifier,1435,1435,Jul 19,-,august
63,Close to Vermeer,1416,1416,May 26,Kino Lorber,august
64,"Blind Willow, Sleeping Woman",1416,1416,Apr 14,-,august
65,It Ain't Over,1067,1067,May 12,Sony Pictures Entertainment (SPE),august
66,The Cow Who Sang a Song Into the Future,1005,1005,May 19,Kino Lorber,august
67,Operation Napoleon,909,909,Aug 11,Magnolia Pictures,august
68,Scarlet,898,898,Jun 9,Kino Lorber,august
69,Two Tickets to Greece,774,774,Jul 14,Greenwich Entertainment,august
70,Blue Jean,612,612,Jun 9,Magnolia Pictures,august
71,Chile '76,401,401,May 5,Kino Lorber,august
72,Final Cut,239,239,Jul 14,Kino Lorber,august
73,Revoir Paris,201,201,Jun 23,Music Box Films,august
74,Somewhere in Queens,155,155,Apr 21,Roadside Attractions,august
75,Other People's Children,66,66,Apr 21,Music Box Films,august
