Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
1,Ant-Man and the Wasp: Quantumania,171337413,171337413,Feb 17,Walt Disney Studios Motion Pictures,february
2,Avatar: The Way of Water,42789356,42789356,Dec 16,20th Century Studios,february
3,80 for Brady,37043896,37043896,Feb 3,Paramount Pictures,february
4,Knock at the Cabin,34236790,34236790,Feb 3,Universal Pictures,february
5,Puss in Boots: The Last Wish,31784405,31784405,Dec 21,Universal Pictures,february
6,Cocaine Bear,27230135,27230135,Feb 24,Universal Pictures,february
7,Magic Mike's Last Dance,23692704,23692704,Feb 10,Warner Bros.,february
8,Jesus Revolution,19161567,19161567,Feb 24,Lionsgate,february
9,A Man Called Otto,14869323,14869323,Dec 30,Columbia Pictures,february
10,Titanic,14631885,14631885,Feb 10,Paramount Pictures,february
11,Missing,13000867,13000867,Jan 20,Sony Pictures Entertainment (SPE),february
12,M3gan,11542775,11542775,Jan 6,Universal Pictures,february
13,Pathaan,6386048,6386048,Jan 25,Yash Raj Films USA Inc.,february
14,BTS: Yet to Come in Cinemas,6350496,6350496,Feb 1,Trafalgar Releasing,february
15,Plane,5956985,5956985,Jan 13,Lionsgate,february
16,The Chosen Season 3 Finale,5525069,5525069,Feb 2,Fathom Events,february
17,Marlowe,4168795,4168795,Feb 15,Open Road Films (II),february
18,The Amazing Maurice,3642508,3642508,Feb 3,Viva Pictures,february
19,Women Talking,2187124,2187124,Dec 23,United Artists Releasing,february
20,Infinity Pool,2031209,2031209,Jan 27,Neon,february
21,The Wandering Earth II,1982709,1982709,Jan 22,Well Go USA Entertainment,february
22,Everything Everywhere All at Once,1763602,1763602,Mar 25,A24,february
23,Winnie the Pooh: Blood and Honey,1750639,1750639,Feb 15,Fathom Events,february
24,2023 Oscar Nominated Short Films: Live Action,1681700,1681700,Feb 17,ShortsTV,february
25,The Whale,1662435,1662435,Dec 9,A24,february
26,Living,1550997,1550997,Dec 23,Sony Pictures Classics,february
27,The Fabelmans,966370,966370,Nov 11,Universal Pictures,february
28,Close,833497,833497,Jan 27,A24,february
29,Black Panther: Wakanda Forever,641412,641412,Nov 11,Walt Disney Studios Motion Pictures,february
30,Hidden Blade,609096,609096,Feb 17,Well Go USA Entertainment,february
31,Emily,599277,599277,Feb 17,Bleecker Street Media,february
32,Maybe I Do,590542,590542,Jan 27,Vertical Entertainment,february
