Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora
1,Avatar: The Way of Water,222528552,222528552,Dec 16,20th Century Studios
2,Puss in Boots: The Last Wish,86503985,86503985,Dec 21,Universal Pictures
3,M3gan,83058490,83058490,Jan 6,Universal Pictures
4,A Man Called Otto,47561111,47561111,Dec 30,Columbia Pictures
5,Plane,26138048,26138048,Jan 13,Lionsgate
6,Missing,18575107,18575107,Jan 20,Sony Pictures Entertainment (SPE)
7,Black Panther: Wakanda Forever,16656634,16656634,Nov 11,Walt Disney Studios Motion Pictures
8,Pathaan,10822853,10822853,Jan 25,Yash Raj Films USA Inc.
9,Whitney Houston: I Wanna Dance with Somebody,10224940,10224940,Dec 23,TriStar Pictures
10,The Whale,9807231,9807231,Dec 9,A24
11,House Party,8510082,8510082,Jan 13,Warner Bros.
12,Babylon,6268558,6268558,Dec 23,Paramount Pictures
13,The Fabelmans,4411990,4411990,Nov 11,Universal Pictures
14,Left Behind: Rise of the Antichrist,3276980,3276980,Jan 26,Fathom Events
15,Infinity Pool,3047191,3047191,Jan 27,Neon
16,Violent Night,2949520,2949520,Dec 2,Universal Pictures
17,The Menu,2772515,2772515,Nov 18,Searchlight Pictures
18,Women Talking,2501510,2501510,Dec 23,United Artists Releasing
19,Skinamarink,1907454,1907454,Jan 13,IFC Films
20,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,1588491,Jan 20,Crunchyroll
21,The Wandering Earth II,1355000,1355000,Jan 22,Well Go USA Entertainment
22,Everything Everywhere All at Once,1278230,1278230,Mar 25,A24
23,Fear,1227545,1227545,Jan 27,Hidden Empire Film Group (HEFG)
24,Strange World,1118720,1118720,Nov 23,Walt Disney Studios Motion Pictures
25,Living,995996,995996,Dec 23,Sony Pictures Classics
26,Broker,968617,968617,Dec 23,Neon
27,The Banshees of Inisherin,909859,909859,Oct 21,Searchlight Pictures
28,The Devil Conspiracy,764703,764703,Jan 13,-
29,Maybe I Do,703180,703180,Jan 27,Vertical Entertainment
30,Devotion,672329,672329,Nov 23,Columbia Pictures
31,Tár,623870,623870,Oct 7,Focus Features
32,Corsage,610523,610523,Dec 23,IFC Films
33,Shin Ultraman,601490,601490,Jan 11,Fathom Events
34,The Son,409098,409098,Jan 20,Sony Pictures Classics
35,EO,386646,386646,Nov 18,Sideshow Releasing
36,Waltair Veerayya,320000,320000,Jan 13,-
37,Aftersun,307710,307710,Oct 21,A24
38,Empire of Light,260974,260974,Dec 9,Searchlight Pictures
39,When You Finish Saving the World,196920,196920,Jan 20,A24
40,Saint Omer,186110,186110,Jan 13,Neon
41,"Lyle, Lyle, Crocodile",183073,183073,Oct 7,Sony Pictures Entertainment (SPE)
