Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
1,Spider-Man: Across the Spider-Verse,331827099,331827099,Jun 2,Columbia Pictures,june
2,The Little Mermaid,138826234,138826234,May 26,Walt Disney Studios Motion Pictures,june
3,Transformers: Rise of the Beasts,131055239,131055239,Jun 9,Paramount Pictures,june
4,The Flash,95682666,95682666,Jun 16,Warner Bros.,june
5,Elemental,80964619,80964619,Jun 16,Walt Disney Studios Motion Pictures,june
6,Guardians of the Galaxy Vol. 3,42719008,42719008,May 5,Walt Disney Studios Motion Pictures,june
7,The Boogeyman,39861551,39861551,Jun 2,Walt Disney Studios Motion Pictures,june
8,Fast X,27356760,27356760,May 19,Universal Pictures,june
9,No Hard Feelings,24039286,24039286,Jun 23,Sony Pictures Entertainment (SPE),june
10,Indiana Jones and the Dial of Destiny,23682998,23682998,Jun 30,Walt Disney Studios Motion Pictures,june
11,Asteroid City,15536445,15536445,Jun 16,Focus Features,june
12,The Blackening,14412583,14412583,Jun 16,Lionsgate,june
13,The Super Mario Bros. Movie,10964770,10964770,Apr 5,Universal Pictures,june
14,About My Father,5496065,5496065,May 26,Lionsgate,june
15,Past Lives,4821764,4821764,Jun 2,A24,june
16,The Machine,3776330,3776330,May 26,Sony Pictures Entertainment (SPE),june
17,You Hurt My Feelings,2589461,2589461,May 26,A24,june
18,"Ruby Gillman, Teenage Kraken",2339895,2339895,Jun 30,DreamWorks,june
19,Kandahar,1483264,1483264,May 26,Open Road Films (II),june
20,The Roundup: No Way Out,823660,823660,Jun 2,Capelight Pictures,june
21,Book Club: The Next Chapter,795990,795990,May 12,Focus Features,june
22,Evil Dead Rise,516110,516110,Apr 21,Warner Bros.,june
23,John Wick: Chapter 4,468501,468501,Mar 24,Lionsgate,june
24,"Are You There God? It's Me, Margaret.",450495,450495,Apr 28,Lionsgate,june
25,Sanctuary,383939,383939,May 19,-,june
26,Mending the Line,379890,379890,Jun 9,Blue Fox Entertainment,june
27,It Ain't Over,295958,295958,May 12,Sony Pictures Entertainment (SPE),june
28,Lonely Castle in the Mirror,139154,139154,Jun 21,GKIDS,june
29,The Pope's Exorcist,136926,136926,Apr 14,Screen Gems,june
30,BlackBerry,129036,129036,May 12,IFC Films,june
31,Master Gardener,118457,118457,May 19,Magnolia Pictures,june
32,The Last Rider,106547,106547,Jun 23,Roadside Attractions,june
33,Nefarious,101644,101644,Apr 14,Soli Deo Gloria Releasing,june
34,Chevalier,92459,92459,Apr 21,Walt Disney Studios Motion Pictures,june
35,Close to Vermeer,88734,88734,May 26,Kino Lorber,june
36,Beau Is Afraid,79361,79361,Apr 14,A24,june
37,The Angry Black Girl and Her Monster,79015,79015,Jun 9,-,june
38,Squaring the Circle (The Story of Hipgnosis),77050,77050,Jun 9,Utopia,june
39,Daliland,75849,75849,Jun 9,Magnolia Pictures,june
40,The Eight Mountains,75234,75234,Apr 28,Variance Films,june
41,Somewhere in Queens,73177,73177,Apr 21,Roadside Attractions,june
42,Blue Jean,70600,70600,Jun 9,Magnolia Pictures,june
43,Chile '76,61951,61951,May 5,Kino Lorber,june
44,Knights of the Zodiac,59282,59282,May 12,-,june
45,Lynch/Oz,49993,49993,Jun 2,Janus Films,june
46,Every Body,47615,47615,Jun 30,Focus Features,june
47,Love Again,46544,46544,May 5,Screen Gems,june
48,Ant-Man and the Wasp: Quantumania,46460,46460,Feb 17,Walt Disney Studios Motion Pictures,june
49,Joyland,42279,42279,Apr 7,Oscilloscope,june
50,Scarlet,35737,35737,Jun 9,Kino Lorber,june
51,L'immensità,33170,33170,May 12,Music Box Films,june
