Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
1,Creed III,145057951,145057951,Mar 3,United Artists Releasing,march
2,John Wick: Chapter 4,102486094,102486094,Mar 24,Lionsgate,march
3,Scream VI,94489431,94489431,Mar 10,Paramount Pictures,march
4,Shazam! Fury of the Gods,50077597,50077597,Mar 17,Warner Bros.,march
5,Ant-Man and the Wasp: Quantumania,39790194,39790194,Feb 17,Walt Disney Studios Motion Pictures,march
6,Cocaine Bear,35943145,35943145,Feb 24,Universal Pictures,march
7,Jesus Revolution,31031235,31031235,Feb 24,Lionsgate,march
8,65,29446263,29446263,Mar 10,Sony Pictures Entertainment (SPE),march
9,Dungeons & Dragons: Honor Among Thieves,15222358,15222358,Mar 31,Paramount Pictures,march
10,Avatar: The Way of Water,14829310,14829310,Dec 16,20th Century Studios,march
11,Champions,14462480,14462480,Mar 10,Focus Features,march
12,Puss in Boots: The Last Wish,10606505,10606505,Dec 21,Universal Pictures,march
13,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,10117806,Mar 3,Crunchyroll,march
14,Operation Fortune: Ruse de Guerre,6496125,6496125,Mar 3,Lionsgate,march
15,Everything Everywhere All at Once,3850585,3850585,Mar 25,A24,march
16,Mummies,3357731,3357731,Feb 24,Warner Bros.,march
17,Tu Jhoothi Main Makkaar,2469364,2469364,Mar 8,Yash Raj Films USA Inc.,march
18,Magic Mike's Last Dance,2312452,2312452,Feb 10,Warner Bros.,march
19,80 for Brady,2286692,2286692,Feb 3,Paramount Pictures,march
20,His Only Son,2199360,2199360,Mar 31,Angel Studios,march
21,Moving On,1985870,1985870,Mar 17,Roadside Attractions,march
22,A Man Called Otto,1764623,1764623,Dec 30,Columbia Pictures,march
23,A Good Person,1410997,1410997,Mar 24,United Artists Releasing,march
24,2023 Oscar Nominated Short Films: Live Action,1343928,1343928,Feb 17,ShortsTV,march
25,The Quiet Girl,1232017,1232017,Feb 24,Neon,march
26,Knock at the Cabin,1161190,1161190,Feb 3,Universal Pictures,march
27,Come Out in Jesus Name,930454,930454,Mar 13,Fathom Events,march
28,Missing,926051,926051,Jan 20,Sony Pictures Entertainment (SPE),march
29,Inside,897190,897190,Mar 17,Focus Features,march
30,The Lost King,816085,816085,Mar 24,IFC Films,march
31,A Thousand and One,703495,703495,Mar 31,Focus Features,march
32,Women Talking,632993,632993,Dec 23,United Artists Releasing,march
33,The Amazing Maurice,628864,628864,Feb 3,Viva Pictures,march
34,The Whale,624785,624785,Dec 9,A24,march
35,Emily,497790,497790,Feb 17,Bleecker Street Media,march
36,Return to Seoul,478361,478361,Feb 17,Sony Pictures Classics,march
37,M3gan,442085,442085,Jan 6,Universal Pictures,march
38,Living,419129,419129,Dec 23,Sony Pictures Classics,march
39,Titanic,401910,401910,Feb 10,Paramount Pictures,march
40,Children of the Corn,325583,325583,Mar 3,-,march
41,Southern Gospel,292845,292845,Mar 10,-,march
42,Pathaan,274401,274401,Jan 25,Yash Raj Films USA Inc.,march
43,RRR Fan CelebRRRation,256566,256566,Mar 3,Variance Films,march
44,School of Magical Animals,224923,224923,Mar 24,Blue Fox Entertainment,march
45,Close,194966,194966,Jan 27,A24,march
46,Marlowe,181448,181448,Feb 15,Open Road Films (II),march
47,The Fabelmans,163190,163190,Nov 11,Universal Pictures,march
