Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora
1,Guardians of the Galaxy Vol. 3,310885750,310885750,May 5,"Walt Disney Studios Motion Pictures

"
2,The Little Mermaid,138583114,138583114,May 26,"Walt Disney Studios Motion Pictures

"
3,Fast X,117838360,117838360,May 19,"Universal Pictures

"
4,The Super Mario Bros. Movie,71530590,71530590,Apr 5,"Universal Pictures

"
5,Evil Dead Rise,22369576,22369576,Apr 21,"Warner Bros.

"
6,Book Club: The Next Chapter,16760350,16760350,May 12,"Focus Features

"
7,"Are You There God? It's Me, Margaret.",13182874,13182874,Apr 28,"Lionsgate

"
8,John Wick: Chapter 4,10642303,10642303,Mar 24,"Lionsgate

"
9,The Machine,6682001,6682001,May 26,"Sony Pictures Entertainment (SPE)

"
10,About My Father,6416701,6416701,May 26,"Lionsgate

"
11,Love Again,6183953,6183953,May 5,"Screen Gems

"
12,Dungeons & Dragons: Honor Among Thieves,5034985,5034985,Mar 31,"Paramount Pictures

"
13,Air,4824548,4824548,Apr 5,-
14,The Covenant,4657962,4657962,Apr 21,"Metro-Goldwyn-Mayer (MGM)

"
15,Hypnotic,4498958,4498958,May 12,"Ketchup Entertainment

"
16,Sisu,3929823,3929823,Apr 28,"Lionsgate

"
17,Kandahar,3329868,3329868,May 26,"Open Road Films (II)

"
18,Big George Foreman,2500866,2500866,Apr 28,"Sony Pictures Entertainment (SPE)

"
19,Star Wars: Episode VI - Return of the Jedi,2159270,2159270,Apr 28,-
20,You Hurt My Feelings,2103430,2103430,May 26,"A24

"
21,Beau Is Afraid,1968088,1968088,Apr 14,"A24

"
22,Nefarious,1917935,1917935,Apr 14,"Soli Deo Gloria Releasing

"
23,The Pope's Exorcist,1853635,1853635,Apr 14,"Screen Gems

"
24,Ant-Man and the Wasp: Quantumania,1486018,1486018,Feb 17,"Walt Disney Studios Motion Pictures

"
25,BlackBerry,1341926,1341926,May 12,"IFC Films

"
26,Knights of the Zodiac,1030468,1030468,May 12,-
27,Suzume,965937,965937,Apr 14,"Crunchyroll

"
28,Fool's Paradise,854137,854137,May 12,"Roadside Attractions

"
29,Renfield,811225,811225,Apr 14,"Universal Pictures

"
30,Roll with It,757981,757981,May 9,"Fathom Events

"
31,Polite Society,727860,727860,Apr 28,"Focus Features

"
32,Rally Road Racers,711005,711005,May 12,"Viva Pictures

"
33,Chevalier,660909,660909,Apr 21,"Walt Disney Studios Motion Pictures

"
34,The Way,567448,567448,May 16,"Fathom Events

"
35,Master Gardener,541316,541316,May 19,"Magnolia Pictures

"
36,A Father's Heart,447912,447912,May 1,"Fathom Events

"
37,Somewhere in Queens,407329,407329,Apr 21,"Roadside Attractions

"
38,It Ain't Over,360683,360683,May 12,"Sony Pictures Entertainment (SPE)

"
39,Spirited Away,228500,228500,Apr 23,"Fathom Events

"
40,Showing Up,202212,202212,Apr 7,"A24

"
41,The Wrath of Becky,168109,168109,May 26,"Quiver Distribution

"
42,Sanctuary,151263,151263,May 19,-
43,The Eight Mountains,146265,146265,Apr 28,"Variance Films

"
44,Wild Life,145143,145143,Apr 14,"Picturehouse

"
45,The Starling Girl,138319,138319,May 12,"Bleecker Street Media

"
46,Monica,134258,134258,May 12,"IFC Films

"
47,Creed III,132521,132521,Mar 3,"United Artists Releasing

"
48,Joyland,125121,125121,Apr 7,"Oscilloscope

"
49,Avatar: The Way of Water,117798,117798,Dec 16,"20th Century Studios

"
50,Carmen,75685,75685,Apr 21,"Sony Pictures Classics

"
51,L'immensità,62108,62108,May 12,"Music Box Films

"
52,Born to Fly,61648,61648,Apr 28,"Well Go USA Entertainment

"
53,Chile '76,59867,59867,May 5,"Kino Lorber

"
54,Scream VI,49203,49203,Mar 10,"Paramount Pictures

"
55,Sick of Myself,47697,47697,Apr 14,"Utopia

"
56,R.M.N.,40550,40550,Apr 28,"IFC Films

"
57,32 Sounds,39218,39218,Apr 28,"Abramorama

"
58,Other People's Children,37630,37630,Apr 21,"Music Box Films

"
59,65,34083,34083,Mar 10,"Sony Pictures Entertainment (SPE)

"
60,The End of Sex,31156,31156,Apr 28,"Blue Fox Entertainment

"
61,The Melt Goes on Forever: The Art & Times of David Hammons,26027,26027,May 5,"Greenwich Entertainment

"
62,How to Blow Up a Pipeline,24355,24355,Apr 7,-
63,Little Richard: I Am Everything,21365,21365,Apr 21,"Magnolia Pictures

"
64,Return to Seoul,20800,20800,Feb 17,"Sony Pictures Classics

"
65,Moon Garden,16013,16013,May 19,"Oscilloscope

"
66,The Lost King,13825,13825,Mar 24,"IFC Films

"
67,Werckmeister Harmonies,13320,13320,May 26,"Janus Films

"
68,Close to Vermeer,12858,12858,May 26,"Kino Lorber

"
69,Always a Winner,11746,11746,May 3,"Five & Two Pictures

"
70,The Conformist,9994,9994,Jan 6,"Kino Lorber

"
71,MindReader,9232,9232,Oct 24,"Five & Two Pictures

"
72,Moving On,6992,6992,Mar 17,"Roadside Attractions

"
73,"Blind Willow, Sleeping Woman",6910,6910,Apr 14,-
74,The Night of the 12th,6798,6798,May 19,"Film Movement

"
75,The Cow Who Sang a Song Into the Future,6604,6604,May 19,"Kino Lorber

"
76,Champions,5940,5940,Mar 10,"Focus Features

"
77,Smoking Causes Coughing,5550,5550,Mar 31,"Magnolia Pictures

"
78,Cinema Sabaya,5375,5375,Feb 10,"Kino Lorber

"
79,A Thousand and One,4425,4425,Mar 31,"Focus Features

"
80,Paint,4230,4230,Apr 7,"IFC Films

"
81,The Headmistress,4202,4202,Jan 13,"Indican Pictures

"
82,Shazam! Fury of the Gods,4148,4148,Mar 17,"Warner Bros.

"
83,Four Quartets,3998,3998,Apr 28,"Kino Lorber

"
84,White Balls on Walls,3313,3313,May 26,"Icarus Films

"
85,Róise & Frank,3062,3062,Mar 31,"Juno Films

"
86,River,2288,2288,Apr 21,"Greenwich Entertainment

"
87,The Forger,2073,2073,Mar 3,"Kino Lorber

"
88,Full Time,1655,1655,Feb 3,"Music Box Films

"
89,The Trial,1431,1431,Dec 9,"Rialto Pictures

"
