id,posicion,pelicula,bruto,release,total,studio,mesActual
1,1,Avatar: The Way of Water,222528552,Dec 16,222528552,20th Century Studios,january
2,2,Puss in Boots: The Last Wish,86503985,Dec 21,86503985,Universal Pictures,january
3,3,M3gan,83058490,Jan 6,83058490,Universal Pictures,january
4,4,A Man Called Otto,47561111,Dec 30,47561111,Columbia Pictures,january
5,5,Plane,26138048,Jan 13,26138048,Lionsgate,january
6,6,Missing,18575107,Jan 20,18575107,Sony Pictures Entertainment (SPE),january
7,7,Black Panther: Wakanda Forever,16656634,Nov 11,16656634,Walt Disney Studios Motion Pictures,january
8,8,Pathaan,10822853,Jan 25,10822853,Yash Raj Films USA Inc.,january
9,9,Whitney Houston: I Wanna Dance with Somebody,10224940,Dec 23,10224940,TriStar Pictures,january
10,10,The Whale,9807231,Dec 9,9807231,A24,january
11,11,House Party,8510082,Jan 13,8510082,Warner Bros.,january
12,12,Babylon,6268558,Dec 23,6268558,Paramount Pictures,january
13,13,The Fabelmans,4411990,Nov 11,4411990,Universal Pictures,january
14,14,Left Behind: Rise of the Antichrist,3276980,Jan 26,3276980,Fathom Events,january
15,15,Infinity Pool,3047191,Jan 27,3047191,Neon,january
16,16,Violent Night,2949520,Dec 2,2949520,Universal Pictures,january
17,17,The Menu,2772515,Nov 18,2772515,Searchlight Pictures,january
18,18,Women Talking,2501510,Dec 23,2501510,United Artists Releasing,january
19,19,Skinamarink,1907454,Jan 13,1907454,IFC Films,january
20,20,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,Jan 20,1588491,Crunchyroll,january
21,21,The Wandering Earth II,1355000,Jan 22,1355000,Well Go USA Entertainment,january
22,22,Everything Everywhere All at Once,1278230,Mar 25,1278230,A24,january
23,23,Fear,1227545,Jan 27,1227545,Hidden Empire Film Group (HEFG),january
24,24,Strange World,1118720,Nov 23,1118720,Walt Disney Studios Motion Pictures,january
25,25,Living,995996,Dec 23,995996,Sony Pictures Classics,january
26,26,Broker,968617,Dec 23,968617,Neon,january
27,27,The Banshees of Inisherin,909859,Oct 21,909859,Searchlight Pictures,january
28,28,The Devil Conspiracy,764703,Jan 13,764703,-,january
29,29,Maybe I Do,703180,Jan 27,703180,Vertical Entertainment,january
